"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","85.66","95.50","95.66","82.75","273.77M","-10.33%"
"11/01/2024","95.53","89.79","97.92","87.85","244.93M","7.83%"
"10/01/2024","88.59","87.01","94.21","86.90","332.22M","0.90%"
"09/01/2024","87.80","89.79","90.14","83.02","326.21M","-3.81%"
"08/01/2024","91.28","93.00","93.47","85.47","290.16M","-2.07%"
"07/01/2024","93.21","91.88","94.51","88.39","282.60M","2.26%"
"06/01/2024","91.15","92.89","92.92","87.60","263.17M","-2.20%"
"05/01/2024","93.20","93.39","95.21","90.27","308.12M","-0.34%"
"04/01/2024","93.52","94.69","98.97","93.46","371.76M","-0.94%"
"03/01/2024","94.41","86.76","94.58","85.97","307.93M","9.60%"
"02/01/2024","86.14","83.91","86.89","82.40","326.96M","3.27%"
"01/01/2024","83.41","84.43","87.11","78.98","381.07M","-0.51%"
"12/01/2023","83.84","84.48","86.17","80.74","375.23M","-0.87%"
"11/01/2023","84.58","85.73","87.68","82.11","408.93M","-0.72%"
"10/01/2023","85.19","90.27","92.56","84.09","522.08M","-5.75%"
"09/01/2023","90.39","89.90","93.68","89.01","407.08M","1.65%"
"08/01/2023","88.92","87.13","90.00","84.96","417.17M","1.65%"
"07/01/2023","87.48","81.37","87.73","78.49","375.71M","7.77%"
"06/01/2023","81.17","76.77","82.51","76.25","426.19M","5.98%"
"05/01/2023","76.59","84.06","85.08","76.33","440.48M","-10.03%"
"04/01/2023","85.13","86.32","87.74","82.69","320.78M","2.78%"
"03/01/2023","82.83","83.76","87.69","75.36","581.03M","-1.03%"
"02/01/2023","83.69","89.51","90.67","82.79","341.44M","-6.94%"
"01/01/2023","89.93","86.92","93.15","82.83","354.32M","2.81%"
"12/01/2022","87.47","91.79","92.25","82.65","435.10M","-4.04%"
"11/01/2022","91.15","91.51","94.71","87.29","520.04M","1.28%"
"10/01/2022","90.00","74.61","91.18","74.49","555.29M","24.97%"
"09/01/2022","72.02","79.31","82.97","68.66","601.29M","-10.53%"
"08/01/2022","80.50","77.08","85.18","70.69","532.20M","2.65%"
"07/01/2022","78.42","72.38","78.66","65.48","557.47M","9.66%"
"06/01/2022","71.51","88.30","93.31","69.47","775.81M","-17.99%"
"05/01/2022","87.20","74.69","90.46","74.46","783.48M","16.03%"
"04/01/2022","75.15","76.34","81.51","71.00","645.45M","-1.69%"
"03/01/2022","76.44","71.21","80.22","70.29","1.09B","8.30%"
"02/01/2022","70.58","65.53","70.66","65.36","764.57M","7.07%"
"01/01/2022","65.92","55.58","67.06","55.55","853.91M","18.77%"
"12/01/2021","55.50","55.87","57.87","51.66","602.23M","1.67%"
"11/01/2021","54.59","58.04","59.40","54.14","599.12M","-5.01%"
"10/01/2021","57.47","52.47","59.41","52.47","694.43M","10.33%"
"09/01/2021","52.09","48.35","53.83","46.47","681.53M","7.62%"
"08/01/2021","48.40","49.42","50.62","45.14","557.59M","-2.00%"
"07/01/2021","49.39","55.10","55.27","46.30","600.48M","-8.32%"
"06/01/2021","53.87","53.24","56.65","52.29","641.29M","3.18%"
"05/01/2021","52.21","49.96","55.14","49.80","623.99M","5.71%"
"04/01/2021","49.39","49.28","51.29","46.25","555.16M","0.67%"
"03/01/2021","49.06","49.42","54.37","47.26","885.89M","1.89%"
"02/01/2021","48.15","39.80","50.81","38.94","628.95M","22.46%"
"01/01/2021","39.32","38.34","45.00","37.51","652.93M","3.75%"
"12/01/2020","37.90","37.78","42.08","36.69","675.09M","3.10%"
"11/01/2020","36.76","29.11","40.42","28.57","850.92M","27.99%"
"10/01/2020","28.72","29.62","31.65","26.98","603.62M","-4.11%"
"09/01/2020","29.95","35.49","35.90","29.54","599.32M","-15.99%"
"08/01/2020","35.65","36.02","39.53","35.36","417.83M","-1.05%"
"07/01/2020","36.03","38.00","38.55","34.24","526.83M","-4.81%"
"06/01/2020","37.85","38.70","46.88","36.31","675.24M","-2.35%"
"05/01/2020","38.76","37.22","40.36","34.30","580.99M","2.00%"
"04/01/2020","38.00","28.12","39.08","27.23","926.82M","30.76%"
"03/01/2020","29.06","46.28","47.99","22.88","985.56M","-35.81%"
"02/01/2020","45.27","53.37","55.40","43.51","485.14M","-15.29%"
"01/01/2020","53.44","60.44","61.31","53.16","349.35M","-10.99%"
"12/01/2019","60.04","57.37","60.63","56.12","283.67M","5.00%"
"11/01/2019","57.18","56.56","60.03","56.40","264.63M","1.60%"
"10/01/2019","56.28","57.68","58.31","54.03","327.29M","-2.09%"
"09/01/2019","57.48","54.91","61.80","54.74","350.84M","2.99%"
"08/01/2019","55.81","60.21","60.49","53.94","382.75M","-8.33%"
"07/01/2019","60.88","62.63","62.83","59.95","225.63M","-1.59%"
"06/01/2019","61.86","57.45","62.07","57.36","291.85M","8.41%"
"05/01/2019","57.06","64.21","64.40","57.06","333.14M","-11.10%"
"04/01/2019","64.19","64.63","66.81","63.70","252.91M","-0.02%"
"03/01/2019","64.20","63.69","65.46","61.47","306.60M","1.33%"
"02/01/2019","63.36","62.60","64.99","60.07","209.88M","2.30%"
"01/01/2019","61.93","54.80","62.21","54.52","333.69M","11.21%"
