"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","131.76","143.90","144.11","130.64","149.68M","-8.49%"
"11/01/2024","143.99","134.51","144.51","133.49","154.49M","7.59%"
"10/01/2024","133.83","135.37","139.77","133.41","170.30M","-1.19%"
"09/01/2024","135.44","130.81","135.70","125.11","152.50M","3.03%"
"08/01/2024","131.46","127.54","131.59","119.17","178.63M","2.82%"
"07/01/2024","127.86","122.44","129.07","120.25","210.39M","4.92%"
"06/01/2024","121.87","123.91","124.21","119.66","177.12M","-1.33%"
"05/01/2024","123.51","121.33","126.22","120.56","176.79M","1.64%"
"04/01/2024","121.52","126.09","126.39","120.17","219.06M","-3.52%"
"03/01/2024","125.96","120.96","126.29","120.45","180.70M","4.10%"
"02/01/2024","121.00","113.60","121.27","112.98","193.62M","7.18%"
"01/01/2024","112.89","113.23","114.37","109.95","203.15M","-0.96%"
"12/01/2023","113.99","107.15","114.40","107.07","176.72M","6.48%"
"11/01/2023","107.05","98.46","107.11","97.79","192.39M","8.83%"
"10/01/2023","98.36","101.09","103.92","96.11","246.38M","-2.98%"
"09/01/2023","101.38","108.98","109.14","100.62","179.46M","-6.33%"
"08/01/2023","108.23","110.24","111.12","105.31","194.80M","-1.98%"
"07/01/2023","110.42","106.91","110.59","105.34","185.44M","2.89%"
"06/01/2023","107.32","97.08","107.62","96.75","244.98M","10.81%"
"05/01/2023","96.85","100.01","101.11","96.53","238.32M","-3.15%"
"04/01/2023","100.00","100.96","101.77","96.92","216.66M","-1.17%"
"03/01/2023","101.18","100.88","104.18","95.19","348.38M","0.21%"
"02/01/2023","100.97","101.44","103.99","99.40","182.55M","-0.86%"
"01/01/2023","101.85","98.78","102.98","97.31","241.12M","3.71%"
"12/01/2022","98.21","102.10","103.31","96.30","200.09M","-3.45%"
"11/01/2022","101.72","95.05","101.74","91.60","203.44M","7.81%"
"10/01/2022","94.35","83.76","94.95","82.76","199.22M","13.89%"
"09/01/2022","82.84","92.32","96.35","82.75","208.60M","-10.86%"
"08/01/2022","92.93","95.04","100.97","92.83","161.23M","-2.83%"
"07/01/2022","95.64","87.18","95.84","84.28","155.20M","9.50%"
"06/01/2022","87.34","95.26","97.34","84.57","201.92M","-7.77%"
"05/01/2022","94.70","95.04","98.98","88.04","321.57M","-0.46%"
"04/01/2022","95.14","103.42","103.50","94.95","240.80M","-7.61%"
"03/01/2022","102.98","99.53","105.23","97.01","301.15M","3.09%"
"02/01/2022","99.89","101.37","103.05","93.40","278.94M","-0.84%"
"01/01/2022","100.74","106.03","107.88","96.94","355.12M","-4.79%"
"12/01/2021","105.81","102.30","106.37","99.33","260.59M","5.00%"
"11/01/2021","100.77","104.70","107.65","100.67","223.44M","-3.56%"
"10/01/2021","104.49","98.46","105.44","97.48","223.25M","6.80%"
"09/01/2021","97.84","104.73","105.24","97.73","274.60M","-6.38%"
"08/01/2021","104.51","103.76","105.73","101.78","248.44M","1.11%"
"07/01/2021","103.36","103.00","103.91","98.77","273.35M","0.94%"
"06/01/2021","102.40","106.14","106.31","99.49","256.78M","-2.59%"
"05/01/2021","105.12","102.70","106.81","100.67","263.11M","3.13%"
"04/01/2021","101.93","98.62","102.74","98.14","211.75M","3.53%"
"03/01/2021","98.45","91.93","99.26","89.85","345.99M","8.65%"
"02/01/2021","90.61","85.61","93.66","84.93","203.67M","6.89%"
"01/01/2021","84.77","88.66","90.69","84.51","255.34M","-4.27%"
"12/01/2020","88.55","89.01","89.73","86.39","187.98M","0.59%"
"11/01/2020","88.03","77.00","90.15","76.44","254.70M","16.03%"
"10/01/2020","75.87","77.52","82.13","74.64","251.28M","-1.44%"
"09/01/2020","76.98","77.56","80.31","74.35","298.12M","-1.07%"
"08/01/2020","77.81","71.82","78.86","71.37","205.60M","8.48%"
"07/01/2020","71.73","69.38","73.09","66.92","215.99M","4.41%"
"06/01/2020","68.70","67.60","76.53","65.63","342.22M","1.52%"
"05/01/2020","67.67","63.08","69.65","56.97","249.11M","5.39%"
"04/01/2020","64.21","56.38","66.22","55.54","297.25M","8.81%"
"03/01/2020","59.01","73.95","77.53","47.71","587.90M","-19.25%"
"02/01/2020","73.08","81.55","85.32","71.30","341.95M","-9.90%"
"01/01/2020","81.11","82.05","84.81","80.80","256.66M","-0.44%"
"12/01/2019","81.47","82.03","82.54","79.26","203.84M","-0.69%"
"11/01/2019","82.04","79.06","82.65","79.01","186.67M","4.50%"
"10/01/2019","78.51","77.91","79.43","73.18","227.13M","1.13%"
"09/01/2019","77.63","75.04","79.79","74.26","203.46M","2.47%"
"08/01/2019","75.76","77.68","78.28","72.19","258.83M","-2.65%"
"07/01/2019","77.82","78.05","79.07","76.28","185.22M","0.52%"
"06/01/2019","77.42","71.93","77.93","71.91","208.50M","7.45%"
"05/01/2019","72.05","78.25","78.50","71.99","300.69M","-7.64%"
"04/01/2019","78.01","75.72","78.95","75.16","217.84M","3.97%"
"03/01/2019","75.03","76.91","77.10","72.79","293.51M","-1.72%"
"02/01/2019","76.34","71.98","77.13","71.68","193.92M","6.37%"
"01/01/2019","71.77","63.46","72.11","62.49","314.93M","11.43%"
