"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","232.52","233.90","241.88","230.19","95.31M","-0.52%"
"11/01/2024","233.73","222.48","237.94","222.18","80.16M","5.17%"
"10/01/2024","222.24","225.09","234.57","218.95","83.45M","-1.56%"
"09/01/2024","225.76","218.00","228.88","202.98","98.70M","2.46%"
"08/01/2024","220.33","218.20","227.37","190.74","135.36M","0.70%"
"07/01/2024","218.80","226.57","238.14","208.30","111.12M","-3.28%"
"06/01/2024","226.23","211.77","232.59","208.17","97.97M","7.65%"
"05/01/2024","210.16","195.22","217.62","194.22","110.24M","7.08%"
"04/01/2024","196.27","208.71","210.10","192.04","141.09M","-5.76%"
"03/01/2024","208.27","207.51","212.35","204.25","138.94M","0.62%"
"02/01/2024","206.98","198.47","208.47","197.07","129.80M","4.70%"
"01/01/2024","197.68","189.86","206.15","183.42","151.02M","2.70%"
"12/01/2023","192.48","184.68","193.72","181.32","147.27M","3.95%"
"11/01/2023","185.16","164.30","186.90","164.30","132.71M","12.90%"
"10/01/2023","164.01","164.01","172.83","159.50","164.38M","0.05%"
"09/01/2023","163.93","176.76","177.38","160.61","116.89M","-6.68%"
"08/01/2023","175.66","177.77","179.03","162.94","138.06M","-1.51%"
"07/01/2023","178.35","173.83","181.46","169.94","132.29M","2.58%"
"06/01/2023","173.86","163.76","176.30","163.08","143.79M","5.83%"
"05/01/2023","164.28","150.71","168.04","146.93","129.57M","8.92%"
"04/01/2023","150.83","150.09","151.51","143.92","118.97M","-0.12%"
"03/01/2023","151.01","136.58","151.15","134.08","193.97M","10.61%"
"02/01/2023","136.52","135.86","144.59","135.21","123.33M","0.41%"
"01/01/2023","135.96","125.77","137.66","120.81","138.45M","9.26%"
"12/01/2022","124.44","136.09","139.33","121.29","139.13M","-8.47%"
"11/01/2022","135.96","129.46","135.98","118.22","137.96M","6.33%"
"10/01/2022","127.87","119.72","129.85","112.97","170.08M","7.65%"
"09/01/2022","118.78","133.94","139.46","118.56","173.28M","-12.18%"
"08/01/2022","135.26","142.92","151.86","135.19","133.94M","-6.21%"
"07/01/2022","144.22","126.32","144.67","124.96","131.31M","13.45%"
"06/01/2022","127.12","141.96","143.43","122.46","186.99M","-9.49%"
"05/01/2022","140.45","141.26","149.14","127.04","268.90M","-0.69%"
"04/01/2022","141.42","159.09","161.55","139.75","235.09M","-11.02%"
"03/01/2022","158.93","153.49","163.65","140.98","270.50M","3.15%"
"02/01/2022","154.07","162.19","164.11","141.72","270.74M","-4.88%"
"01/01/2022","161.97","174.10","176.00","146.24","323.00M","-6.84%"
"12/01/2021","173.87","170.50","177.04","163.05","273.20M","3.05%"
"11/01/2021","168.72","161.53","174.25","160.47","233.38M","4.45%"
"10/01/2021","161.53","149.86","161.63","146.88","210.56M","8.18%"
"09/01/2021","149.32","159.41","160.13","149.24","221.93M","-6.01%"
"08/01/2021","158.86","154.09","159.88","151.21","126.83M","3.56%"
"07/01/2021","153.40","147.46","154.71","146.91","139.95M","3.89%"
"06/01/2021","147.66","139.02","148.02","136.54","136.50M","6.69%"
"05/01/2021","138.40","140.45","140.73","130.96","169.81M","-0.93%"
"04/01/2021","139.70","134.26","143.77","134.13","118.25M","5.19%"
"03/01/2021","132.81","132.91","135.18","124.71","262.72M","1.62%"
"02/01/2021","130.69","130.46","139.24","128.61","133.70M","1.37%"
"01/01/2021","128.93","130.68","134.79","126.12","149.76M","-0.84%"
"12/01/2020","130.02","124.50","131.40","122.90","130.53M","5.30%"
"11/01/2020","123.48","111.71","125.36","110.08","176.37M","11.38%"
"10/01/2020","110.86","118.32","124.27","109.57","199.74M","-5.00%"
"09/01/2020","116.70","124.66","127.72","109.11","337.28M","-5.54%"
"08/01/2020","123.55","111.93","124.35","111.15","164.86M","11.88%"
"07/01/2020","110.43","104.56","110.47","103.47","211.49M","5.68%"
"06/01/2020","104.49","97.51","105.83","97.08","262.28M","6.66%"
"05/01/2020","97.97","89.40","98.52","88.08","237.65M","7.18%"
"04/01/2020","91.41","77.59","92.14","75.96","311.28M","13.74%"
"03/01/2020","80.37","89.96","94.66","68.10","782.44M","-9.05%"
"02/01/2020","88.37","95.44","102.94","84.06","306.00M","-7.30%"
"01/01/2020","95.33","92.50","98.83","91.25","213.96M","3.99%"
"12/01/2019","91.67","88.20","92.29","85.16","169.36M","3.98%"
"11/01/2019","88.16","83.95","88.42","83.82","163.57M","5.37%"
"10/01/2019","83.67","80.89","84.05","77.28","238.64M","3.90%"
"09/01/2019","80.53","78.87","82.42","78.28","217.96M","1.26%"
"08/01/2019","79.53","80.91","82.62","75.14","335.75M","-1.54%"
"07/01/2019","80.77","79.83","82.78","78.81","195.41M","3.50%"
"06/01/2019","78.04","72.00","79.22","70.14","251.57M","8.55%"
"05/01/2019","71.89","79.50","79.70","71.86","360.70M","-8.66%"
"04/01/2019","78.71","74.72","79.46","74.30","232.95M","6.36%"
"03/01/2019","74.00","71.42","75.25","68.84","339.12M","4.43%"
"02/01/2019","70.86","66.31","71.47","66.21","199.77M","6.91%"
"01/01/2019","66.28","60.71","66.64","58.81","275.82M","6.94%"
